EMGValue   Timestamp   TrueFlexState
140   84989804   0
140   84991504   0
140   84993204   0
140   84994904   0
141   84996604   0
141   84998304   0
142   85000004   0
142   85001704   0
143   85003404   0
143   85005104   0
143   85006804   0
143   85008504   0
143   85010204   0
143   85011904   0
143   85013604   0
144   85015304   0
145   85017004   0
145   85018704   0
144   85020404   0
145   85022104   0
145   85023804   0
145   85025504   0
146   85027204   0
147   85028904   0
147   85030604   0
147   85032304   0
147   85034004   0
147   85035704   0
147   85037404   0
147   85039112   0
148   85040804   0
148   85042504   0
148   85044204   0
149   85045904   0
149   85047604   0
148   85049304   0
148   85051004   0
149   85052704   0
149   85054404   0
150   85056104   0
150   85057804   0
151   85059504   0
150   85061204   0
150   85062904   0
150   85064604   0
151   85066304   0
151   85068004   0
151   85069704   0
152   85071404   0
152   85073104   0
152   85074804   0
152   85076504   0
152   85078204   0
152   85079904   0
152   85081604   0
152   85083304   0
152   85085004   0
153   85086704   0
152   85088404   0
152   85090104   0
153   85091804   0
153   85093504   0
152   85095204   0
152   85096904   0
153   85098604   0
153   85100304   0
153   85102004   0
153   85103704   0
153   85105404   0
153   85107104   0
154   85108804   0
153   85110504   0
153   85112204   0
153   85113904   0
153   85115604   0
154   85117304   0
153   85119004   0
153   85120704   0
153   85122404   0
153   85124112   0
153   85125804   0
153   85127504   0
153   85129204   0
154   85130904   0
154   85132604   0
153   85134304   0
155   85136004   0
154   85137704   0
155   85139404   0
154   85141104   0
155   85142804   0
155   85144504   0
155   85146204   0
155   85147904   0
155   85149604   0
156   85151304   0
156   85153004   0
156   85154704   0
156   85156404   0
156   85158104   0
157   85159804   0
157   85161504   0
157   85163204   0
157   85164904   0
157   85166604   0
157   85168304   0
157   85170004   0
156   85171704   0
158   85173404   0
157   85175104   0
157   85176804   0
157   85178504   0
157   85180204   0
158   85181904   0
157   85183604   0
158   85185304   0
157   85187004   0
157   85188704   0
158   85190404   0
158   85192104   0
158   85193804   0
157   85195504   0
158   85197204   0
158   85198904   0
158   85200604   0
158   85202304   0
159   85204004   0
159   85205704   0
158   85207404   0
158   85209104   0
158   85210804   0
159   85212504   0
159   85214204   0
158   85215904   0
159   85217604   0
159   85219304   0
159   85221004   0
159   85222704   0
159   85224404   0
159   85226104   0
159   85227804   0
159   85229504   0
159   85231204   0
159   85232904   0
159   85234604   0
159   85236304   0
159   85238004   0
159   85239704   0
159   85241404   0
159   85243104   0
159   85244804   0
159   85246504   0
159   85248204   0
159   85249904   0
159   85251604   0
159   85253304   0
159   85255004   0
159   85256704   0
159   85258404   0
159   85260104   0
159   85261804   0
159   85263504   0
159   85265204   0
159   85266904   0
159   85268604   0
159   85270304   0
159   85272004   0
159   85273704   0
159   85275404   0
159   85277104   0
159   85278804   0
159   85280504   0
158   85282204   0
159   85283904   0
159   85285604   0
159   85287304   0
159   85289004   0
159   85290704   0
158   85292404   0
159   85294104   0
158   85295804   0
159   85297504   0
159   85299212   0
159   85300904   0
159   85302604   0
158   85304304   0
159   85306004   0
159   85307704   0
158   85309404   0
158   85311104   0
159   85312804   0
158   85314504   0
159   85316204   0
158   85317904   0
158   85319604   0
158   85321304   0
158   85323004   0
159   85324704   0
158   85326404   0
158   85328104   0
158   85329804   0
158   85331504   0
158   85333204   0
158   85334904   0
158   85336604   0
158   85338304   0
158   85340004   0
158   85341704   0
158   85343404   0
157   85345104   0
157   85346804   0
156   85348504   0
157   85350204   0
157   85351904   0
156   85353604   0
157   85355304   0
157   85357004   0
156   85358704   0
156   85360404   0
156   85362104   0
156   85363804   0
156   85365504   0
156   85367204   0
156   85368904   0
156   85370604   0
156   85372304   0
156   85374004   0
156   85375704   0
156   85377404   0
156   85379104   0
156   85380804   0
155   85382504   0
155   85384208   0
156   85385904   0
155   85387604   0
155   85389304   0
155   85391004   0
155   85392704   0
156   85394404   0
155   85396104   0
155   85397804   0
156   85399504   0
155   85401204   0
155   85402904   0
154   85404604   0
154   85406304   0
155   85408004   0
155   85409704   0
155   85411404   0
155   85413104   0
155   85414804   0
154   85416504   0
155   85418204   0
155   85419904   0
154   85421604   0
154   85423304   0
155   85425004   0
155   85426704   0
155   85428404   0
153   85430104   0
153   85431804   0
154   85433504   0
154   85435204   0
155   85436904   0
153   85438604   0
154   85440304   0
154   85442004   0
154   85443704   0
154   85445404   0
154   85447104   0
153   85448804   0
153   85450504   0
154   85452204   0
153   85453904   0
153   85455604   0
153   85457304   0
153   85459004   0
153   85460704   0
153   85462404   0
153   85464104   0
153   85465804   0
153   85467504   0
152   85469204   0
152   85470904   0
152   85472604   0
152   85474312   0
152   85476004   0
152   85477704   0
153   85479404   0
152   85481104   0
152   85482804   0
152   85484504   0
152   85486204   0
153   85487904   0
152   85489604   0
152   85491304   0
152   85493004   0
153   85494704   0
153   85496404   0
153   85498104   0
152   85499804   0
153   85501504   0
153   85503204   0
152   85504904   0
152   85506604   0
153   85508304   0
153   85510004   0
153   85511704   0
152   85513404   0
152   85515104   0
153   85516804   0
153   85518504   0
153   85520204   0
153   85521904   0
153   85523604   0
153   85525304   0
153   85527004   0
153   85528704   0
153   85530404   0
153   85532104   0
153   85533804   0
153   85535504   0
153   85537204   0
153   85538904   0
154   85540604   0
153   85542304   0
153   85544004   0
153   85545704   0
154   85547404   0
154   85549104   0
153   85550804   0
153   85552504   0
153   85554204   0
153   85555904   0
153   85557604   0
154   85559312   0
153   85561004   0
153   85562704   0
152   85564404   0
154   85566104   0
153   85567804   0
153   85569504   0
154   85571204   0
154   85572904   0
153   85574604   0
153   85576304   0
154   85578004   0
153   85579704   0
153   85581404   0
153   85583104   0
153   85584804   0
153   85586504   0
154   85588204   0
153   85589904   0
153   85591604   0
153   85593304   0
153   85595004   0
153   85596704   0
152   85598404   0
