EMGValue   Timestamp   TrueFlexState
187   5906348   0
187   5926108   0
186   5945868   0
185   5965628   0
184   5985388   0
183   6005148   0
181   6024908   0
180   6044668   0
179   6064428   0
180   6084188   0
179   6103948   0
180   6123708   0
179   6143468   0
179   6163228   0
180   6182988   0
179   6202748   0
180   6222508   0
180   6242268   0
179   6262028   0
178   6281788   0
177   6301548   0
176   6321308   0
176   6341068   0
174   6360828   0
174   6380588   0
175   6400348   0
176   6420108   0
175   6439868   0
176   6459628   0
176   6479388   0
177   6499148   0
178   6518908   0
177   6538668   0
178   6558428   0
177   6578192   0
177   6597948   0
176   6617708   0
176   6637468   0
176   6657228   0
175   6676988   0
175   6696748   0
175   6716508   0
174   6736268   0
174   6756028   0
174   6775788   0
175   6795548   0
175   6815308   0
176   6835068   0
176   6854828   0
177   6874588   0
176   6894348   0
177   6914108   0
176   6933868   0
176   6953628   0
175   6973388   0
174   6993148   0
173   7012908   0
172   7032668   0
172   7052428   0
172   7072188   0
172   7091948   0
172   7111708   0
173   7131468   0
173   7151228   0
174   7170988   0
174   7190748   0
175   7210508   0
174   7230268   0
174   7250028   0
173   7269788   0
172   7289548   0
171   7309308   0
167   7329068   0
167   7348828   0
167   7368588   0
166   7388348   0
166   7408108   0
166   7427868   0
167   7447628   0
167   7467388   0
167   7487148   0
96   7505868   0
39   7524588   0
8   7542268   0
0   7559948   0
0   7577628   0
0   7595308   0
0   7612988   0
0   7630668   0
3   7648348   0
8   7666028   0
12   7684748   0
15   7703468   0
19   7722188   0
22   7740908   0
27   7759628   0
30   7778348   0
33   7797068   0
35   7815788   0
39   7834508   0
43   7853228   0
44   7871948   0
48   7890668   0
51   7909392   0
54   7928108   0
56   7946828   0
58   7965548   0
60   7984268   0
63   8002988   0
64   8021708   0
66   8040428   0
67   8059148   0
70   8077868   0
71   8096588   0
73   8115308   0
75   8134028   0
76   8152748   0
78   8171468   0
79   8190188   0
80   8208908   0
84   8227628   0
86   8246348   0
90   8265068   0
94   8283788   0
96   8302508   0
100   8322268   0
103   8342028   0
105   8361788   0
108   8381548   0
110   8401308   0
112   8421068   0
114   8440828   0
115   8460588   0
115   8480348   0
118   8500108   0
119   8519868   0
120   8539628   0
120   8559388   0
120   8579148   0
120   8598908   0
122   8618668   0
123   8638428   0
126   8658188   0
129   8677948   0
133   8697708   0
135   8717468   0
139   8737228   0
141   8756988   0
143   8776748   0
145   8796508   0
147   8816268   0
149   8836028   0
150   8855788   0
150   8875548   0
152   8895308   0
152   8915068   0
154   8934828   0
155   8954588   0
155   8974352   0
156   8994108   0
156   9013868   0
156   9033628   0
158   9053388   0
159   9073148   0
159   9092908   0
159   9112668   0
160   9132428   0
161   9152188   0
162   9171948   0
163   9191708   0
163   9211468   0
164   9231228   0
166   9250988   0
167   9270748   0
167   9290508   0
166   9310268   0
167   9330028   0
166   9349788   0
167   9369548   0
167   9389308   0
167   9409068   0
167   9428828   0
167   9448588   0
167   9468348   0
166   9488108   0
167   9507868   0
167   9527628   0
167   9547388   0
168   9567148   0
169   9586908   0
169   9606668   0
171   9626428   0
172   9646188   0
172   9665948   0
173   9685708   0
173   9705468   0
172   9725228   0
172   9744988   0
172   9764748   0
172   9784508   0
172   9804268   0
172   9824028   0
172   9843788   0
171   9863548   0
171   9883308   0
171   9903068   0
172   9922828   0
172   9942588   0
173   9962348   0
174   9982108   0
174   10001868   0
174   10022668   0
175   10043468   0
176   10064268   0
176   10085068   0
176   10105872   0
176   10126668   0
175   10147468   0
176   10168268   0
175   10189068   0
175   10209868   0
174   10230668   0
174   10251468   0
172   10272268   0
172   10293068   0
174   10313868   0
174   10334668   0
175   10355468   0
177   10376268   0
177   10397068   0
178   10417868   0
178   10438672   0
179   10459468   0
181   10480268   0
180   10501068   0
180   10521868   0
179   10542668   0
179   10563468   0
178   10584268   0
177   10605068   0
176   10625868   0
175   10646668   0
174   10667468   0
173   10688268   0
172   10709068   0
172   10729868   0
172   10750668   0
173   10771472   0
174   10792268   0
174   10813068   0
175   10833868   0
175   10854668   0
175   10875468   0
175   10896268   0
175   10917068   0
175   10937868   0
176   10958668   0
176   10979468   0
176   11000268   0
175   11021068   0
173   11041868   0
171   11062668   0
169   11083468   0
168   11104272   0
167   11125068   0
166   11145868   0
167   11166668   0
167   11187468   0
169   11208268   0
171   11229068   0
173   11249868   0
175   11270668   0
177   11291468   0
179   11312268   0
180   11333068   0
179   11353868   0
178   11374668   0
177   11395468   0
176   11416268   0
176   11437072   0
174   11457868   0
174   11478668   0
173   11499468   0
173   11520268   0
174   11541068   0
172   11561868   0
174   11582668   0
173   11603468   0
174   11624268   0
176   11645068   0
177   11665868   0
179   11686668   0
179   11707468   0
182   11728268   0
182   11749068   0
182   11769872   0
183   11790668   0
183   11811468   0
184   11832268   0
184   11853068   0
184   11873868   0
184   11894668   0
183   11915468   0
183   11936268   0
182   11957068   0
181   11977868   0
181   11998668   0
181   12019468   0
180   12040268   0
182   12061068   0
183   12081868   0
185   12102672   0
185   12123468   0
185   12144268   0
187   12165068   0
186   12185868   0
187   12206668   0
187   12227468   0
187   12248268   0
188   12269068   0
189   12289868   0
190   12310668   0
192   12331468   0
193   12352268   0
193   12373068   0
193   12393868   0
192   12414668   0
192   12435472   0
193   12456268   0
193   12477068   0
194   12497868   0
195   12518668   0
195   12539468   0
192   12560268   0
191   12581068   0
188   12601868   0
189   12622668   0
190   12643468   0
190   12664268   0
192   12685068   0
193   12705868   0
193   12726668   0
195   12747468   0
194   12768272   0
195   12789068   0
194   12809868   0
193   12830668   0
192   12851468   0
192   12872268   0
191   12893068   0
191   12913868   0
190   12934668   0
190   12955468   0
188   12976268   0
188   12997068   0
188   13017868   0
188   13038668   0
189   13059468   0
190   13080268   0
189   13101072   0
189   13121868   0
188   13142668   0
188   13163468   0
188   13184268   0
187   13205068   0
186   13225868   0
185   13246668   0
184   13267468   0
183   13288268   0
182   13309068   0
182   13329868   0
180   13350668   0
179   13371468   0
179   13392268   0
179   13413068   0
178   13433872   0
178   13454668   0
177   13475468   0
178   13496268   0
178   13517068   0
179   13537868   0
180   13558668   0
179   13579468   0
180   13600268   0
180   13621068   0
181   13641868   0
180   13662668   0
180   13683468   0
180   13704268   0
180   13725068   0
181   13745868   0
181   13766672   0
181   13787468   0
180   13808268   0
179   13829068   0
180   13849868   0
179   13870668   0
178   13891468   0
178   13912268   0
178   13933068   0
179   13953868   0
179   13974668   0
179   13995468   0
179   14016268   0
179   14037068   0
178   14057868   0
178   14078668   0
177   14099472   0
177   14120268   0
177   14141068   0
177   14161868   0
177   14182668   0
177   14203468   0
176   14224268   0
176   14245068   0
176   14265868   0
176   14286668   0
176   14307468   0
176   14328268   0
176   14349068   0
176   14369868   0
175   14390668   0
174   14411468   0
175   14432272   0
174   14453068   0
174   14473868   0
174   14494668   0
174   14515468   0
174   14536268   0
173   14557068   0
174   14577868   0
173   14598668   0
174   14619468   0
174   14640268   0
174   14661068   0
174   14681868   0
173   14702   0
176   15867468   0
176   15888268   0
176   15909068   0
176   15929868   0
176   15950668   0
176   15971468   0
175   15992268   0
175   16013068   0
175   16033868   0
175   16054668   0
175   16075468   0
175   16096272   0
175   16117068   0
175   16137868   0
175   16158668   0
175   16179468   0
174   16200268   0
174   16221068   0
173   16241868   0
174   16262668   0
173   16283468   0
173   16304268   0
174   16325068   0
174   16345868   0
174   16366668   0
175   16387468   0
175   16408268   0
175   16429072   0
175   16449868   0
176   16470668   0
176   16491468   0
176   16512268   0
177   16533068   0
178   16553868   0
178   16574668   0
178   16595468   0
178   16616268   0
177   16637068   0
176   16657868   0
175   16678668   0
173   16699468   0
172   16720268   0
169   16741068   0
166   16761872   0
163   16782668   0
161   16803468   0
160   16824268   0
163   16845068   0
167   16865868   0
172   16886668   0
176   16907468   0
179   16928268   0
182   16949068   0
184   16969868   0
184   16990668   0
184   17011468   0
183   17032268   0
183   17053068   0
182   17073868   0
179   17094672   0
178   17115468   0
176   17136268   0
172   17157068   0
167   17177868   0
161   17198668   0
151   17219468   0
139   17240268   0
127   17261068   0
118   17281868   0
110   17302668   0
105   17323468   0
101   17344268   0
99   17364028   0
103   17384828   0
115   17405628   0
121   17426428   0
128   17447228   0
134   17468028   0
137   17488828   0
140   17509628   0
138   17530428   0
135   17551228   0
127   17572028   0
119   17592828   0
105   17613628   0
87   17633388   0
71   17653148   0
60   17672908   0
54   17692668   0
49   17712428   0
48   17732188   0
46   17751948   0
46   17771708   0
43   17791468   0
40   17811228   0
38   17830988   0
35   17850748   0
37   17870508   0
40   17890268   0
48   17910028   0
53   17929788   0
55   17949548   0
55   17969308   0
